dimension|indicador|denominacion|orden|fte|um|universo|def_con|def_ope|cob|desagregaciones|uso_alc_lim|metas|ods
dim02|edad_jefe|Sexo y edad de los jefes de hogar (en porcentaje)|20|dgeyc_datcensos|pje|Hogares residentes en la CABA|Es el total de hogares, según el sexo del jefe, y el porcentaje de cada grupo e edad.|Cociente entre la cantidad de jefes/as de hogar de cada grupo de edad sobre el total de jefes de hogar, para cada sexo, multiplicado por 100.|1980-1991-2001-2010|Sexo del jefe|||
dim21|edad_prom|Edad promedio de las madres|50|dgeyc_ev_proy|annios|Mujeres residentes en la Ciudad de Buenos Aires que tuvieron hijos en cada año de la serie|Edad  media de  las  madres  en  el  momento de nacer sus hijos. |Es la sumatoria de la edad de las madres en el momento de nacer sus hijos dividido el total de madres, de cada año.|1970 en adelante||||
dim01|esp_vid|Esperanza de vida al nacer|60|dgeyc_adem|annio_vid|Población total residente en CABA|Número promedio de años que vivirían los integrantes de una cohorte hipotética de personas que permaneciese sujeta a la mortalidad imperante en la población en estudio desde su nacimiento hasta su extinción.|Función calculada en la tabla de mortalidad.|1887 en adelante.|Sexo|Medida resumen del nivel de la mortalidad, apta para comparar la mortalidad entre distitntas poblaciones y de una población en el tiempo. Es un buen indicador de las condiciones de salud.||
dim15|esp_vid_esc|Esperanza de vida escolar (censal)|50|indec_censo|annios_est|Población de 5 a 17 años residente en CABA|Cantidad total de años de escolaridad que es de prever curse en el futuro un alumno de determinada edad, partiendo del supuesto que la probabilidad de que esté matriculado en el sistema educativo al cumplir cierta edad, sea igual a la tasa de escolarización para dicha edad. La esperanza de vida escolar debería situarse en los 13 años en correspondencia con la edad teórica del gupo de 5 a 17 años en su trayectoria escolar (comprende la Sala de 5 del nivel inicial, el nivel primario y el nivel secundario). En la Ciudad de Buenos Aires, a partir de 1993 es obligatoria la Sala de 5 años del nivel inicial,y desde 2002, el nivel secundario. |Es la suma de las tasas de escolarización por edades simples desde la edad obligatoria para ingresar al sistema educativo (5 años) hasta la máxima edad teórica de escolarización (en este caso 17 años). Las tasas involucradas son relativas (proporciones y no porcentuales)|1980 - 1991 - 2001 - 2010 |Sexo|||
dim15|est_cond_asis|Estructura de la población de 5 a 17 según condición de asistencia escolar (en porcentaje)|9|dgeyc_datcensos|pje|Población de 5 a 17 años residente en CABA|La estructura demográfica por condición de asistencia de la población da cuenta de su distribución, si concurre o no a un establecimiento educativo, según el grupo de edad y el sexo. Expresa el peso relativo por condición de asistencia de cada grupo de edad y sexo en relación al total de la población. La categoría "No asiste" incluye la población que asistió o nunca asistió. En 1991 incluye los ignorados.|Cociente entre el total de población que asiste (o no asiste) de un grupo de edad y sexo, y la población total, multiplicado por 100.|1980 - 1991 - 2001 - 2010 |Sexo, Edad||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 4. Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanante para todos. Más específicamente a la Meta 4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos.|true
dim01|est_pob|Población por sexo y grupos funcionales de edad (en porcentaje)|20|dgeyc_datcensos|pje|Población total residente en CABA|Composición porcentual de la población según sexo y tres grandes grupos de edad: menores de 15 años, 15 a 64 años y 65 años y más|Es el cociente entre la población de cada grupo de edad y la población total multiplicado por cien. Se calcula para el total y para cada sexo.|1855-1869-1887-1895-1904-1909-1914-1936-1947-1960-1970-1980-1991-2001-2010|Sexo, Grupo de edad|Permite analizar la estructura demográfica según sexo y el peso de la edades activas e inactivas en una población en un momento determinado y los cambios a través del tiempo los cuales tienen consecuencias en las demandas sociales como educación, salud, pensiones y jubilaciones.||
dim01|est_pob_porc|Estructura de la población (en porcentaje)|10|dgeyc_datcensos|pje|Población total residente en CABA|La estructura demográfica de la población da cuenta de su distribución según el grupo de edad y el sexo. Expresa el peso relativo de cada grupo de edad y sexo en relación al total de la población|Cociente entre el total de población de un grupo de edad y sexo, y  la población total, multiplicado por 100.|1855-1869-1887-1895-1904-1909-1914-1936-1947-1960-1970-1980-1991-2001-2010|Lugar de nacimiento|Permite analizar la estructura demográfica por sexo y edad.||
dim01|ind_fem|Índice de feminidad|30|dgeyc_datcensos|m/100v|Población total residente en CABA|El índice o relación de feminidad es el número de mujeres en relación al número de varones que conforman una población.  Expresa el número de mujeres cada 100 varones.|Es el cociente entre el número de mujeres y el número de varones, multiplicado por 100|1855-1869-1887-1895-1904-1909-1914-1936-1947-1960-1970-1980-1991-2001-2010|Lugar de nacimiento, grupo de edad|Refleja la composición o distribución de una población según sexo producto de patrones diferenciales de natalidad, migración y mortalidad.  A medida que la estructura de una población envejece  el índice da cuenta de una mayor feminización como consecuencia de la mayor sobrevivencia femenina.||
dim51|ind_fem_act_dir|Índice de feminidad de asistentes a actividades dirigidas en polideportivos de CABA|15|dgeyc_dep|m/100v|Asistentes a polideportivos de la Ciudad de Buenos Aires donde se realizan actividades dirigidas|Indica la cantidad de asistentes mujeres cada cien asistentes varones en actividades deportivas en polideportivos de la CABA|Cociente entre los asistentes mujeres y los asistentes varones, multiplicado por cien|2006 en adelante||||
dim51|ind_fem_act_lib|Índice de feminidad de asistentes a actividades libres en polideportivos de CABA|25|dgeyc_dep|m/100v|Asistentes a polideportivos de la Ciudad de Buenos Aires donde se realizan actividades libres|Indica la cantidad de asistentes mujeres cada cien asistentes varones en actividades deportivas en polideportivos de la CABA.|Cociente entre los asistentes mujeres y los asistentes varones, multiplicado por cien|2004 en adelante||||
dim51|ind_fem_ap|Índice de feminidad de asistentes al programa "Aprendé Programando"|92|mine_dgtedu|m/100v|Alumnos de los últimos tres años del nivel secundario, de Centros Educativos de Nivel Secundario (CENS), del programa Adultos 2000 y del programa Terminá la Secundaria|Expresa el número de mujeres, por cada 100 varones, asistentes en el programa "Aprendé Programando". La iniciativa del Ministerio de Educación tiene por objetivo que los estudiantes adquieran conocimientos básicos de programación|Cociente entre el número de mujeres y el número de varones, por cien. |2016 en adelante||Los últimos tres años difieren según escuela media común o técnica: alumnos de 3º, 4º o 5º año de una escuela media y de 4º, 5º o 6º año de una escuela técnica.||
dim51|ind_fem_cac|Índice de feminidad de asistentes al programa "Codo a Codo"|105|mine_dgtedu|m/100v|Población asistente al Programa "Codo a Codo"|Expresa el número de mujeres, por cada 100 varones, asistentes en el programa "Codo a Codo". La iniciativa de los Ministerios de Educación y Modernización tiene por objetivo que cualquier vecino con título secundario, adquiera las herramientas necesarias para insertarse laboralmente en el mundo tecnológico.|Cociente entre el número de mujeres y el número de varones, por cien. |2017||||
dim51|ind_fem_pbae|Índice de feminidad de usuarios que propusieron proyectos en el proceso participativo BA Elige|200|dgeyc_dgop|m/100v|Usuarios residentes de CABA registrados con documento de identidad en el aplicativo BA Elige, que propusieron proyectos.|Da cuenta de la cantidad de usuarios mujeres por cada cien usuarios varones que participaron en el programa BA Elige proponiendo  proyectos.|Cociente entre los usuarios mujeres y los usuarios  multiplicado por cien.|2017/2018||||
dim51|ind_fem_vbae|Índice de feminidad de usuarios que votaron proyectos en el proceso participativo BA Elige|210|dgeyc_dgop|m/100v|Usuarios residentes de CABA registrados con documento de identidad en el aplicativo BA Elige, que votaron proyectos.|Da cuenta de la cantidad de usuarios mujeres por cada cien usuarios varones que participaron en el programa BA Elige votando proyectos.|Cociente entre los usuarios mujeres y los usuarios  multiplicado por cien.|2017/2018||||
dim51|ind_giro_dig|Índice de feminidad de asistentes al programa "Giro Digital"|120|mine_educ|m/100v|Población que asiste al programa "Giro Digital"|Expresa el número de mujeres, por cada 100 varones, asistentes en el programa "Giro Digital". La iniciativa del Ministerio de Educación brinda nuevas herramientas tecnológicas y digitales, y potencia la capacidad de emprendimiento. Giro digital incluye talleres de Marketing Digital, Impresión 3D, Minería de datos, Design Thinking, Drones, Interligencia Artificial y aprendizaje automático y Blockchain. |Cociente entre el número de mujeres y el número de varones, por cien.|2017/2018||||
dim51|ind_seg_vue|Índice de feminidad de asistentes al programa "Segunda Vuelta"|130|mine_educ|m/100v|Población de 35 años y más que asiste al programa "Segunda Vuelta"|Expresa el número de mujeres, por cada 100 varones, asistentes en el programa "Segunda Vuelta". La iniciativa del Ministerio de Educación, dirigida a adultos mayores de 35 años, brinda herramientas para mejorar las oportunidades laborales.|Cociente entre el número de mujeres y el número de varones, por cien.|2018||||
dim13|jer_ocup_epf|Jerarquia ocupacional de la dotación del empleo privado formal (en porcentaje)||dgeyc_eil|pje|Población asalariada en empresas privadas de 10 ocupados y más|La jerarquía permite reconocer la existencia de formas jerárquico-organizativas de los procesos de trabajo y se establece a partir de la existencia de líneas de mando que hacen visible la posición de cada ocupación en el ordenamiento interno de las unidades productivas.|Promedio mensual del cociente entre los asalariados en empresas privadas de 10 asalariados y más incluidos en cada una de las categorías de la variable Jerarquía ocupacional y el total de asalariados, por cien. |2010 en adelante|Sexo||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.5 Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública.|true
dim23|lin_tel_ayu|Porcentaje de mujeres de 18 años y más que conocen distintos dispositivos institucionales y mecanismos de difusión destinados a las víctimas de violencia de género.|60|dgeyc_en_muj|pje|Mujeres de 18 años y más residentes CABA |Mide el conocimiento de las mujeres acerca de los distintos dispositivos  jurídicos, de asistencia o campañas destinadas a difundir ampliamente el derecho a una vida libre de violencias así como los mecanismos disponibles para la atención de las diversas manifestaciones de violencia contra las mujeres|Cociente entre las mujeres que declaran conocer cada dispositivo o mecanismo y el total de mujeres, multiplicado por cien. Se excluye los casos nos sabe/no contesta por representar menos del 0,5% del total del cuadro. |2018||Contribuye al conocimiento sobre la violencia contra las mujeres en sus diferentes manifestaciones. Líneas telefónicas de ayuda: La línea 0800 666 8537 (Línea de la Ciudad de Buenos Aires), la línea 144 (Línea nacional), la línea 137 (Línea Ministerio de Justicia de la Nación). Organismos del poder judicial: Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD), Oficina de Asistencia a la Víctima y Testigo (OFAVyT, Fiscalía CABA), Juzgado de familia, Fiscalía penal, Unidad Fiscal. Servicios de Patrocinio Jurídico Gratuito: Defensoría General de la Nación y la Procuración General de la Ciudad de Buenos Aires.  Organismos de la policia: Brigada de Género de la Policía de la Ciudad de Bs. As. y Comisarías de la Mujer de la Provincia de Bs. As.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.2 Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación.|true
dim15|max_neduc_ocup|Máximo nivel de enseñanza alcanzado de la población ocupada (en porcentaje)|90|dgeyc_eah|pje|Población de 10 años y más residente en CABA|Refiere al perfil educativo de la población adulta ocupada según el máximo nivel de enseñanza alcanzado, completo o incompleto.  El nivel superior incompleto incluye terciario/superior no universitario y universitario incompleto. El nivel superior completo incluye terciario/superior no universitario y universitario completo y posgrado incompleto o completo.|Cociente entre el producto de la población de 25 años y más que alcanzó y no superó cada nivel de enseñanza por cien y el total de la población de ese grupo de edad|2012 en adelante|Sexo|Las diferencias con datos publicados anteriormente se deben a rectificaciones de procesamiento||
dim23|muj_vict_asis|Porcentaje de mujeres de 18 años y más víctimas de un hecho de violencia que buscaron ayuda en algún servicio de asistencia a víctimas de violencia de género.|70|dgeyc_en_muj|pje|Mujeres de 18 años y más residentes CABA  que sufrieron algun hecho de violencia.|Permite conocer el acceso y/o la utilización de los servicios de asistencia a la víctima en situación de violencia de género.|Cociente entre las mujeres que sufrieron algún hecho de violencia y recurrieron a algun servicio de asistencia a la víctima y el total de mujeres que sufieron algun hecho de violencia, multiplicado por cien.|2018||Contribuye al conocimiento sobre la violencia contra las mujeres en sus diferentes manifestaciones. Líneas telefónicas de ayuda: La línea 0800 666 8537 (Línea de la Ciudad de Buenos Aires), la línea 144 (Línea nacional), la línea 137 (Línea Ministerio de Justicia de la Nación). Organismos del poder judicial: Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD), Oficina de Asistencia a la Víctima y Testigo (OFAVyT, Fiscalía CABA), Juzgado de familia, Fiscalía penal, Unidad Fiscal Especializada en Violencia contra las Mujeres (UFEM). Servicios de Patrocinio Jurídico Gratuito: Defensoría General de la Nación y  la Procuración General de la Ciudad de Buenos Aires. Organismos de la policia: Brigada de Género de la Policía de la Ciudad de Bs. As. y Comisarías de la Mujer de la Provincia de Bs. As.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.2 Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación.|true
dim23|muj_vict_viol|Mujeres víctimas de violencia familiar asistidas en los Centros Integrales de la Mujer |30|minddhh_m_caba|per|Mujeres de 15 años y más residente en la Ciudad de Buenos Aires atendidas en los Centros Integrales de la Mujer.|Mujeres de CABA de 15  años y más, con y sin hijos, víctimas de violencia  doméstica,  física  psicológica  y/o  sexual, admitidas en los Centros Integrales de la Mujer|--|2000 en adelante|Lugar de nacimiento, Condición laboral y Lugar de residencia||Este indicador contribuye al monitoreo del  Objetivo de Desarrollo Sostenible  16. Promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 16.1 Reducir significativamente todas las formas de violencia y las correspondientes tasas de mortalidad en todo el mundo. |true
dim15|niv_ens_25|Nivel de enseñanza alcanzado por la población de 25 años y más (en porcentaje)|60|indec_censo|pje|Población de 25 años y más residente en CABA|Refiere al perfil educativo de la población adulta según el máximo nivel de enseñanza alcanzado, sea este completo o incompleto. |Cociente entre el producto de la población de 25 años y más que alcanzó y no superó cada nivel de enseñanza por cien y el total de la población de ese grupo de edad. Excluye la población que asistió a educación especial.|2001 - 2010|Sexo, Grupo de edad|||
dim31|porc_com_leg|Porcentaje de Comisiones de la Legislatura presididas por mujeres|20|legis_gcba|pje|Comisiones de la Legislatura Porteña|Porcentaje de comisiones de la Legislatura de la Ciudad de Buenos Aires presididas por mujeres|Cociente entre el numero de comisiones de la Legislatura de la Ciudad presididas por mujeres y el total comisiones de la Legislatura, multiplicado por cien.|2010-2019|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5: lograr la igualdad de género y empoderar a todas las mujeres y niñas,y al 16: promover sociedades pacíficas e inclusivas para el desarrollo sostenible, proporcionar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas en todos los niveles. Más específicamente a la Meta 5.5: asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública y a la Meta 16.7: garantizar la adopción en todos los niveles de decisiones inclusivas, participativas y representativas que respondan a las necesidades.|true
dim02|porc_jefas_hog|Porcentaje de hogares con jefatura femenina (en el total de hogares)|15|dgeyc_datcensos|pje|Hogares residentes en CABA|Representa los hogares  con jefatura femenina. El hogar es el conjunto de personas, parientes o no, que viven bajo el mismo techo y comparten los gastos de alimentación. Una persona sola también constituye un hogar. El jefe/a de hogar es la persona que es reconocida como tal por los restantes miembros de ese hogar.|Cociente entre el total hogares con jefatura femenina y total de hogares, por cien.|1980 - 1991 - 2001 - 2010 ||||
dim52|porc_lic|Porcentaje de mujeres hasta 54 años que trabajan en el GCBA e iniciaron trámite de licencia por maternidad |10|sgrh_meyf|pje|Mujeres hasta 54 años empleadas en el Gobierno de la Ciudad |El indicador refiere a las empleadas del Gobierno de la Ciudad que iniciaron licencias por embarazo y nacimiento de hijo. Se consideran las edades reproductivas para la delimitación del universo y se presenta por grupo de edad.|.Cociente entre las empleadas del GBCA con licencia por maternidad y el total de empleadas, de cada grupo de edad, multiplicado por cien.|2018||Los datos corresponden al período comprendido entre junio 2017 y junio 2018.||
dim52|porc_lic_cuid|Licencias por cuidado de familiar enfermo solicitadas por mujeres (en porcentaje)|40|sgrh_meyf|pje|Licencias por cuidado de familiar enfermo solicitadas por empleados del Gobierno de la Ciudad de Buenos Aires.|Refiere a las licencias tomadas por empleados en el período a causa de un familiar enfermo distinguiendo su composicón por sexo.|Cociente entre las licencias por cuidado de familiar enfermo solicitadas por empleadas mujeres y el total de licencias por cuidado de familiar enfermo solicitadas, de cada grupo de edad, multiplicado por 100.|2018||Los datos corresponden al período comprendido entre junio 2017 y junio 2018.||
